ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist,Description
10707,DRAM,1010,001,Lecture,"3","Denise Stewart","MoTuWeThFr 10:30AM - 12:45PM","Drama Education Bldg 115C","How Theatre Works","",Open,0,14,0,"Investigates theatre arts and their relation to contemporary culture through the practical and experiential study of plays, production style and the role of theatre artists in creative interpretation."
10587,DRAM,2020,001,Seminar,"3","Cady Garey","MoTuWeThFr 10:30AM - 12:45PM","Drama Education Bldg B006","Acting I","",Open,0,12,0,"Explores basic theories and techniques of acting through exercises, improvisations and scenes from contemporary dramatic literature."
10756,DRAM,2020,002,Seminar,"3","Cady Garey","MoTuWeThFr 10:30AM - 12:45PM","Drama Education Bldg 206","Acting I","",Open,0,12,0,"Explores basic theories and techniques of acting through exercises, improvisations and scenes from contemporary dramatic literature."
10655,DRAM,2070,001,Lecture,"3","Theresa Davis","MoTuWeThFr 1:00PM - 3:15PM","Drama Education Bldg 217","Public Speaking","",Open,0,12,0,"The purpose of  this course is to put principles of speech into practice; students will learn to communicate effectively primarily through practical experience.  Students will (1) learn the basic principles of speech preparation and delivery, including invention of topics and arguments, organization, and style; (2) apply these principles to your speech preparation and delivery; and (3) develop and use listening skills in the analysis of speeches."
10809,DRAM,2070,002,Lecture,"3","Theresa Davis","MoTuWeThFr 1:00PM - 3:15PM","Drama Education Bldg 206","Public Speaking","",Open,0,12,0,"The purpose of  this course is to put principles of speech into practice; students will learn to communicate effectively primarily through practical experience.  Students will (1) learn the basic principles of speech preparation and delivery, including invention of topics and arguments, organization, and style; (2) apply these principles to your speech preparation and delivery; and (3) develop and use listening skills in the analysis of speeches."
12343,DRAM,2210,001,Lecture,"3","Steven Warner","MoTuWeThFr 1:00PM - 3:15PM","Drama Education Bldg 115B","Scenic Technology","",Open,0,15,0,"Studies the technology and practices used in the theatre and entertainment industry. Covers set construction techniques, materials, and hardware. Students will learn the skills and techniques required for using hand and power tools. Terminology learned in Drama 2210 will be practiced in the co-requisite course Drama 2230 - Production Studio."
10609,DRAM,2620,001,Lecture,"3","Michael Rasbury","MoTuWeThFr 1:00PM - 3:15PM","Drama Education Bldg B010","Sound Design","",Open,0,12,0,"Students will explore the sonic qualities of sound and music through discussion, construction, critical listening, and demonstration."
12344,DRAM,3730,001,Workshop,"3","Doug Grissom","MoTuWeThFr 1:00PM - 3:15PM","New Cabell Hall 211","Screenwriting","",Open,0,12,0,"An introduction to the art and craft of screenwriting through the writing and discussion of short scripts. Will involve study of screenplays and films, and focus on the basic elements of screenwriting, including story structure, creation of character, and formatting."
10543,EAST,8999,001,Independent Study,"1 - 12","Charles Laughlin","TBA","TBA","Non-Topical Research","",Open,0,30,0,"For master's thesis, taken under the supervision of a thesis director."
11551,ECE,4907,001,Independent Study,"1 - 3","Scott Acton","TBA","TBA","Electrical Engineering Projects","",Open,0,5,0,"Under faculty supervision, students plan a project of at least one semester's duration, conduct the analysis or design and test, and report on the results. If this work is to be the basis for an undergraduate thesis, the course should be taken no later than the seventh semester.  Prerequisite: Instructor permission."
11558,ECE,4907,02,Independent Study,"1 - 3","Lloyd Harriott","TBA","TBA","Electrical Engineering Projects","",Open,0,5,0,"Under faculty supervision, students plan a project of at least one semester's duration, conduct the analysis or design and test, and report on the results. If this work is to be the basis for an undergraduate thesis, the course should be taken no later than the seventh semester.  Prerequisite: Instructor permission."
11590,ECE,4907,003,Independent Study,"1 - 3","Malathi Veeraraghavan","TBA","TBA","Electrical Engineering Projects","",Open,0,30,0,"Under faculty supervision, students plan a project of at least one semester's duration, conduct the analysis or design and test, and report on the results. If this work is to be the basis for an undergraduate thesis, the course should be taken no later than the seventh semester.  Prerequisite: Instructor permission."
11591,ECE,4907,004,Independent Study,"1 - 3","Malathi Veeraraghavan","TBA","TBA","Electrical Engineering Projects","",Open,0,30,0,"Under faculty supervision, students plan a project of at least one semester's duration, conduct the analysis or design and test, and report on the results. If this work is to be the basis for an undergraduate thesis, the course should be taken no later than the seventh semester.  Prerequisite: Instructor permission."
11592,ECE,4907,005,Independent Study,"1 - 3","Malathi Veeraraghavan","TBA","TBA","Electrical Engineering Projects","",Open,0,30,0,"Under faculty supervision, students plan a project of at least one semester's duration, conduct the analysis or design and test, and report on the results. If this work is to be the basis for an undergraduate thesis, the course should be taken no later than the seventh semester.  Prerequisite: Instructor permission."
11593,ECE,4907,006,Independent Study,"1 - 3","Malathi Veeraraghavan","TBA","TBA","Electrical Engineering Projects","",Open,0,30,0,"Under faculty supervision, students plan a project of at least one semester's duration, conduct the analysis or design and test, and report on the results. If this work is to be the basis for an undergraduate thesis, the course should be taken no later than the seventh semester.  Prerequisite: Instructor permission."
11627,ECE,4907,007,Independent Study,"1 - 3","Steven Bowers","TBA","TBA","Electrical Engineering Projects","",Open,0,30,0,"Under faculty supervision, students plan a project of at least one semester's duration, conduct the analysis or design and test, and report on the results. If this work is to be the basis for an undergraduate thesis, the course should be taken no later than the seventh semester.  Prerequisite: Instructor permission."
11552,ECE,4908,001,Independent Study,"1 - 3","Scott Acton","TBA","TBA","Electrical Engineering Projects","",Open,0,5,0,"Under faculty supervision, students plan a project of at least one semester's duration, conduct the analysis or design and test, and report on the results. If this work is to be the basis for an undergraduate thesis, the course should be taken no later than the seventh semester.  Prerequisite: Instructor permission."
11646,ECE,4908,002,Independent Study,"1 - 3","Andreas Beling","TBA","TBA","Electrical Engineering Projects","",Open,0,30,0,"Under faculty supervision, students plan a project of at least one semester's duration, conduct the analysis or design and test, and report on the results. If this work is to be the basis for an undergraduate thesis, the course should be taken no later than the seventh semester.  Prerequisite: Instructor permission."
11529,ECE,6993,001,Independent Study,"1 - 3","Gang Tao","TBA","TBA","Independent Study","",Open,0,5,0,"Detailed study of graduate course material on an independent basis under the guidance of a faculty member."
11567,ECE,6993,002,Independent Study,"1 - 3","Stephen Wilson","TBA","TBA","Independent Study","",Open,0,5,0,"Detailed study of graduate course material on an independent basis under the guidance of a faculty member."
11597,ECE,6993,003,Independent Study,"1 - 3","Archie Holmes","TBA","TBA","Independent Study","",Open,0,5,0,"Detailed study of graduate course material on an independent basis under the guidance of a faculty member."
11599,ECE,6993,004,Independent Study,"1 - 3","Lloyd Harriott","TBA","TBA","Independent Study","",Open,0,5,0,"Detailed study of graduate course material on an independent basis under the guidance of a faculty member."
11429,ECE,6995,001,Independent Study,"3 - 6","Mircea Stan","Mo 12:00AM - 2:30AM","TBA","Supervised Project Research","",Open,0,30,0,"Formal record of student commitment to project research under the guidance of a faculty advisor. A project report is required at the completion of each semester. May be repeated as necessary."
11492,ECE,6995,002,Independent Study,"3 - 6","Arthur Lichtenberger","TBA","TBA","Supervised Project Research","",Open,0,30,0,"Formal record of student commitment to project research under the guidance of a faculty advisor. A project report is required at the completion of each semester. May be repeated as necessary."
11508,ECE,6995,003,Independent Study,"3 - 6","John Lach","TBA","TBA","Supervised Project Research","",Open,0,5,0,"Formal record of student commitment to project research under the guidance of a faculty advisor. A project report is required at the completion of each semester. May be repeated as necessary."
11513,ECE,6995,004,Independent Study,"3 - 6","N. Barker","TBA","TBA","Supervised Project Research","",Open,0,30,0,"Formal record of student commitment to project research under the guidance of a faculty advisor. A project report is required at the completion of each semester. May be repeated as necessary."
11514,ECE,6995,005,Independent Study,"3 - 6","Phineas Marshall","TBA","TBA","Supervised Project Research","",Open,0,30,0,"Formal record of student commitment to project research under the guidance of a faculty advisor. A project report is required at the completion of each semester. May be repeated as necessary."
11521,ECE,6995,006,Independent Study,"3 - 6","Benton Calhoun","TBA","TBA","Supervised Project Research","",Open,0,30,0,"Formal record of student commitment to project research under the guidance of a faculty advisor. A project report is required at the completion of each semester. May be repeated as necessary."
11527,ECE,6995,007,Independent Study,"3 - 6","Ronald Williams","TBA","TBA","Supervised Project Research","",Open,0,1,0,"Formal record of student commitment to project research under the guidance of a faculty advisor. A project report is required at the completion of each semester. May be repeated as necessary."
11766,ECE,6995,008,Independent Study,"3 - 6","Homa Alemzadeh","TBA","TBA","Supervised Project Research","",Open,0,30,0,"Formal record of student commitment to project research under the guidance of a faculty advisor. A project report is required at the completion of each semester. May be repeated as necessary."
11765,ECE,7993,001,Independent Study,"3","Homa Alemzadeh","TBA","TBA","Independent Study","",Open,0,30,0,"Detailed study of graduate course material on an independent basis under the guidance of a faculty member."
11586,ECE,7995,001,Independent Study,"3 - 6","Malathi Veeraraghavan","TBA","TBA","Supervised Project Research","",Open,0,30,0,"Formal record of student commitment to project research under the guidance of a faculty advisor. Registration may be repeated as necessary."
11587,ECE,7995,002,Independent Study,"3 - 6","Malathi Veeraraghavan","TBA","TBA","Supervised Project Research","",Open,0,30,0,"Formal record of student commitment to project research under the guidance of a faculty advisor. Registration may be repeated as necessary."
11588,ECE,7995,003,Independent Study,"3 - 6","Malathi Veeraraghavan","TBA","TBA","Supervised Project Research","",Open,0,30,0,"Formal record of student commitment to project research under the guidance of a faculty advisor. Registration may be repeated as necessary."
11589,ECE,7995,004,Independent Study,"3 - 6","Malathi Veeraraghavan","TBA","TBA","Supervised Project Research","",Open,0,30,0,"Formal record of student commitment to project research under the guidance of a faculty advisor. Registration may be repeated as necessary."
11663,ECE,7995,005,Independent Study,"3 - 6","Nathan Swami","TBA","TBA","Supervised Project Research","",Open,0,30,0,"Formal record of student commitment to project research under the guidance of a faculty advisor. Registration may be repeated as necessary."
11100,ECE,8999,001,Independent Study,"1 - 12","Scott Acton","TBA","TBA","Thesis","",Open,0,30,0,"Formal record of student commitment to master's thesis research under the guidance of a faculty advisor. May be repeated as necessary."
11101,ECE,8999,002,Independent Study,"1 - 12","N. Barker","TBA","TBA","Thesis","",Open,0,30,0,"Formal record of student commitment to master's thesis research under the guidance of a faculty advisor. May be repeated as necessary."
11102,ECE,8999,003,Independent Study,"1 - 12","John Bean","TBA","TBA","Thesis","",Open,0,30,0,"Formal record of student commitment to master's thesis research under the guidance of a faculty advisor. May be repeated as necessary."
11103,ECE,8999,004,Independent Study,"1 - 12","Toby Berger","TBA","TBA","Thesis","",Open,0,30,0,"Formal record of student commitment to master's thesis research under the guidance of a faculty advisor. May be repeated as necessary."
11104,ECE,8999,005,Independent Study,"1 - 12","Travis Blalock","TBA","TBA","Thesis","",Open,0,30,0,"Formal record of student commitment to master's thesis research under the guidance of a faculty advisor. May be repeated as necessary."
11105,ECE,8999,006,Independent Study,"1 - 12","Richard Bradley","TBA","TBA","Thesis","",Open,0,30,0,"Formal record of student commitment to master's thesis research under the guidance of a faculty advisor. May be repeated as necessary."
11106,ECE,8999,007,Independent Study,"1 - 12","Nathan Swami","TBA","TBA","Thesis","",Open,0,30,0,"Formal record of student commitment to master's thesis research under the guidance of a faculty advisor. May be repeated as necessary."
11107,ECE,8999,008,Independent Study,"1 - 12","Benton Calhoun","TBA","TBA","Thesis","",Open,0,30,0,"Formal record of student commitment to master's thesis research under the guidance of a faculty advisor. May be repeated as necessary."
11108,ECE,8999,009,Independent Study,"1 - 12","Joe Campbell","TBA","TBA","Thesis","",Open,0,30,0,"Formal record of student commitment to master's thesis research under the guidance of a faculty advisor. May be repeated as necessary."
11109,ECE,8999,010,Independent Study,"1 - 12","Joanne Dugan","TBA","TBA","Thesis","",Open,0,30,0,"Formal record of student commitment to master's thesis research under the guidance of a faculty advisor. May be repeated as necessary."
11110,ECE,8999,011,Independent Study,"1 - 12","Boris Gelmont","TBA","TBA","Thesis","",Open,0,30,0,"Formal record of student commitment to master's thesis research under the guidance of a faculty advisor. May be repeated as necessary."
11111,ECE,8999,012,Independent Study,"1 - 12","Avik Ghosh","TBA","TBA","Thesis","",Open,0,30,0,"Formal record of student commitment to master's thesis research under the guidance of a faculty advisor. May be repeated as necessary."
11112,ECE,8999,013,Independent Study,"1 - 12","Tatiana Globus","TBA","TBA","Thesis","",Open,0,30,0,"Formal record of student commitment to master's thesis research under the guidance of a faculty advisor. May be repeated as necessary."
11113,ECE,8999,014,Independent Study,"1 - 12","Mool Gupta","TBA","TBA","Thesis","",Open,0,30,0,"Formal record of student commitment to master's thesis research under the guidance of a faculty advisor. May be repeated as necessary."
11114,ECE,8999,015,Independent Study,"1 - 12","Lloyd Harriott","TBA","TBA","Thesis","",Open,0,30,0,"Formal record of student commitment to master's thesis research under the guidance of a faculty advisor. May be repeated as necessary."
11115,ECE,8999,016,Independent Study,"1 - 12","Archie Holmes","TBA","TBA","Thesis","",Open,0,30,0,"Formal record of student commitment to master's thesis research under the guidance of a faculty advisor. May be repeated as necessary."
11116,ECE,8999,017,Independent Study,"1 - 12","John Lach","TBA","TBA","Thesis","",Open,0,30,0,"Formal record of student commitment to master's thesis research under the guidance of a faculty advisor. May be repeated as necessary."
11117,ECE,8999,018,Independent Study,"1 - 12","Arthur Lichtenberger","TBA","TBA","Thesis","",Open,0,30,0,"Formal record of student commitment to master's thesis research under the guidance of a faculty advisor. May be repeated as necessary."
11118,ECE,8999,019,Independent Study,"1 - 12","Zongli Lin","TBA","TBA","Thesis","",Open,0,30,0,"Formal record of student commitment to master's thesis research under the guidance of a faculty advisor. May be repeated as necessary."
11119,ECE,8999,020,Independent Study,"1 - 12","Phineas Marshall","TBA","TBA","Thesis","",Open,0,30,0,"Formal record of student commitment to master's thesis research under the guidance of a faculty advisor. May be repeated as necessary."
11120,ECE,8999,021,Independent Study,"1 - 12","Michael Reed","TBA","TBA","Thesis","",Open,0,30,0,"Formal record of student commitment to master's thesis research under the guidance of a faculty advisor. May be repeated as necessary."
11121,ECE,8999,022,Independent Study,"1 - 12","Staff","TBA","TBA","Thesis","",Open,0,30,0,"Formal record of student commitment to master's thesis research under the guidance of a faculty advisor. May be repeated as necessary."
11122,ECE,8999,023,Independent Study,"1 - 12","Nathan Swami","TBA","TBA","Thesis","",Open,0,30,0,"Formal record of student commitment to master's thesis research under the guidance of a faculty advisor. May be repeated as necessary."
11123,ECE,8999,024,Independent Study,"1 - 12","Gang Tao","TBA","TBA","Thesis","",Open,0,30,0,"Formal record of student commitment to master's thesis research under the guidance of a faculty advisor. May be repeated as necessary."
11124,ECE,8999,025,Independent Study,"1 - 12","Malathi Veeraraghavan","TBA","TBA","Thesis","",Open,0,30,0,"Formal record of student commitment to master's thesis research under the guidance of a faculty advisor. May be repeated as necessary."
11125,ECE,8999,026,Independent Study,"1 - 12","Robert Weikle","TBA","TBA","Thesis","",Open,0,30,0,"Formal record of student commitment to master's thesis research under the guidance of a faculty advisor. May be repeated as necessary."
11126,ECE,8999,027,Independent Study,"1 - 12","Ronald Williams","TBA","TBA","Thesis","",Open,0,30,0,"Formal record of student commitment to master's thesis research under the guidance of a faculty advisor. May be repeated as necessary."
11127,ECE,8999,028,Independent Study,"1 - 12","Stephen Wilson","TBA","TBA","Thesis","",Open,0,30,0,"Formal record of student commitment to master's thesis research under the guidance of a faculty advisor. May be repeated as necessary."
11432,ECE,8999,030,Independent Study,"1 - 12","Maite Brandt-Pearce","TBA","TBA","Thesis","",Open,0,30,0,"Formal record of student commitment to master's thesis research under the guidance of a faculty advisor. May be repeated as necessary."
11522,ECE,8999,031,Independent Study,"1 - 12","Mircea Stan","TBA","TBA","Thesis","",Open,0,30,0,"Formal record of student commitment to master's thesis research under the guidance of a faculty advisor. May be repeated as necessary."
11615,ECE,8999,032,Independent Study,"1 - 12","Daniel Weller","TBA","TBA","Thesis","",Open,0,30,0,"Formal record of student commitment to master's thesis research under the guidance of a faculty advisor. May be repeated as necessary."
11647,ECE,8999,033,Independent Study,"1 - 12","Andreas Beling","TBA","TBA","Thesis","",Open,0,30,0,"Formal record of student commitment to master's thesis research under the guidance of a faculty advisor. May be repeated as necessary."
11709,ECE,8999,034,Independent Study,"1 - 12","Nicola Bezzo","TBA","TBA","Thesis","",Open,0,30,0,"Formal record of student commitment to master's thesis research under the guidance of a faculty advisor. May be repeated as necessary."
11767,ECE,8999,035,Independent Study,"1 - 12","Homa Alemzadeh","TBA","TBA","Thesis","",Open,0,30,0,"Formal record of student commitment to master's thesis research under the guidance of a faculty advisor. May be repeated as necessary."
11128,ECE,9999,001,Independent Study,"1 - 12","Scott Acton","TBA","TBA","Dissertation","",Open,0,30,0,"Formal record of student commitment to doctoral research under the guidance of a faculty advisor. May be repeated as necessary."
11129,ECE,9999,002,Independent Study,"1 - 12","N. Barker","TBA","TBA","Dissertation","",Open,0,30,0,"Formal record of student commitment to doctoral research under the guidance of a faculty advisor. May be repeated as necessary."
11130,ECE,9999,003,Independent Study,"1 - 12","John Bean","TBA","TBA","Dissertation","",Open,0,30,0,"Formal record of student commitment to doctoral research under the guidance of a faculty advisor. May be repeated as necessary."
11131,ECE,9999,004,Independent Study,"1 - 12","Toby Berger","TBA","TBA","Dissertation","",Open,0,30,0,"Formal record of student commitment to doctoral research under the guidance of a faculty advisor. May be repeated as necessary."
11132,ECE,9999,005,Independent Study,"1 - 12","Travis Blalock","TBA","TBA","Dissertation","",Open,0,30,0,"Formal record of student commitment to doctoral research under the guidance of a faculty advisor. May be repeated as necessary."
11133,ECE,9999,006,Independent Study,"1 - 12","Richard Bradley","TBA","TBA","Dissertation","",Open,0,30,0,"Formal record of student commitment to doctoral research under the guidance of a faculty advisor. May be repeated as necessary."
11134,ECE,9999,007,Independent Study,"1 - 12","Maite Brandt-Pearce","TBA","TBA","Dissertation","",Open,0,30,0,"Formal record of student commitment to doctoral research under the guidance of a faculty advisor. May be repeated as necessary."
11135,ECE,9999,008,Independent Study,"1 - 12","Benton Calhoun","TBA","TBA","Dissertation","",Open,0,30,0,"Formal record of student commitment to doctoral research under the guidance of a faculty advisor. May be repeated as necessary."
11136,ECE,9999,009,Independent Study,"1 - 12","Joe Campbell","TBA","TBA","Dissertation","",Open,0,30,0,"Formal record of student commitment to doctoral research under the guidance of a faculty advisor. May be repeated as necessary."
11137,ECE,9999,010,Independent Study,"1 - 12","Joanne Dugan","TBA","TBA","Dissertation","",Open,0,30,0,"Formal record of student commitment to doctoral research under the guidance of a faculty advisor. May be repeated as necessary."
11138,ECE,9999,011,Independent Study,"1 - 12","Boris Gelmont","TBA","TBA","Dissertation","",Open,0,30,0,"Formal record of student commitment to doctoral research under the guidance of a faculty advisor. May be repeated as necessary."
11139,ECE,9999,012,Independent Study,"1 - 12","Avik Ghosh","TBA","TBA","Dissertation","",Open,0,30,0,"Formal record of student commitment to doctoral research under the guidance of a faculty advisor. May be repeated as necessary."
11140,ECE,9999,013,Independent Study,"1 - 12","Tatiana Globus","TBA","TBA","Dissertation","",Open,0,30,0,"Formal record of student commitment to doctoral research under the guidance of a faculty advisor. May be repeated as necessary."
11141,ECE,9999,014,Independent Study,"1 - 12","Mool Gupta","TBA","TBA","Dissertation","",Open,0,30,0,"Formal record of student commitment to doctoral research under the guidance of a faculty advisor. May be repeated as necessary."
11142,ECE,9999,015,Independent Study,"1 - 12","Lloyd Harriott","TBA","TBA","Dissertation","",Open,0,30,0,"Formal record of student commitment to doctoral research under the guidance of a faculty advisor. May be repeated as necessary."
11143,ECE,9999,016,Independent Study,"1 - 12","Archie Holmes","TBA","TBA","Dissertation","",Open,0,30,0,"Formal record of student commitment to doctoral research under the guidance of a faculty advisor. May be repeated as necessary."
11144,ECE,9999,017,Independent Study,"1 - 12","John Lach","TBA","TBA","Dissertation","",Open,0,30,0,"Formal record of student commitment to doctoral research under the guidance of a faculty advisor. May be repeated as necessary."
11145,ECE,9999,018,Independent Study,"1 - 12","Arthur Lichtenberger","TBA","TBA","Dissertation","",Open,0,30,0,"Formal record of student commitment to doctoral research under the guidance of a faculty advisor. May be repeated as necessary."
11146,ECE,9999,019,Independent Study,"1 - 12","Zongli Lin","TBA","TBA","Dissertation","",Open,0,30,0,"Formal record of student commitment to doctoral research under the guidance of a faculty advisor. May be repeated as necessary."
11147,ECE,9999,020,Independent Study,"1 - 12","Nikhil Shukla","TBA","TBA","Dissertation","",Open,0,30,0,"Formal record of student commitment to doctoral research under the guidance of a faculty advisor. May be repeated as necessary."
11148,ECE,9999,021,Independent Study,"1 - 12","Michael Reed","TBA","TBA","Dissertation","",Open,0,30,0,"Formal record of student commitment to doctoral research under the guidance of a faculty advisor. May be repeated as necessary."
11149,ECE,9999,022,Independent Study,"1 - 12","Mircea Stan","Mo 12:00AM - 12:01PM","TBA","Dissertation","",Open,0,30,0,"Formal record of student commitment to doctoral research under the guidance of a faculty advisor. May be repeated as necessary."
11150,ECE,9999,023,Independent Study,"1 - 12","Nathan Swami","TBA","TBA","Dissertation","",Open,0,30,0,"Formal record of student commitment to doctoral research under the guidance of a faculty advisor. May be repeated as necessary."
11151,ECE,9999,024,Independent Study,"1 - 12","Gang Tao","TBA","TBA","Dissertation","",Open,0,30,0,"Formal record of student commitment to doctoral research under the guidance of a faculty advisor. May be repeated as necessary."
11152,ECE,9999,025,Independent Study,"1 - 12","Malathi Veeraraghavan","TBA","TBA","Dissertation","",Open,0,30,0,"Formal record of student commitment to doctoral research under the guidance of a faculty advisor. May be repeated as necessary."
11153,ECE,9999,026,Independent Study,"1 - 12","Robert Weikle","TBA","TBA","Dissertation","",Open,0,30,0,"Formal record of student commitment to doctoral research under the guidance of a faculty advisor. May be repeated as necessary."
11154,ECE,9999,027,Independent Study,"1 - 12","Ronald Williams","TBA","TBA","Dissertation","",Open,0,30,0,"Formal record of student commitment to doctoral research under the guidance of a faculty advisor. May be repeated as necessary."
11155,ECE,9999,028,Independent Study,"1 - 12","Stephen Wilson","TBA","TBA","Dissertation","",Open,0,30,0,"Formal record of student commitment to doctoral research under the guidance of a faculty advisor. May be repeated as necessary."
11584,ECE,9999,029,Independent Study,"1 - 12","Andreas Beling","TBA","TBA","Dissertation","",Open,0,30,0,"Formal record of student commitment to doctoral research under the guidance of a faculty advisor. May be repeated as necessary."
11614,ECE,9999,030,Independent Study,"1 - 12","Steven Bowers","TBA","TBA","Dissertation","",Open,0,30,0,"Formal record of student commitment to doctoral research under the guidance of a faculty advisor. May be repeated as necessary."
11616,ECE,9999,031,Independent Study,"1 - 12","Daniel Weller","TBA","TBA","Dissertation","",Open,0,30,0,"Formal record of student commitment to doctoral research under the guidance of a faculty advisor. May be repeated as necessary."
11648,ECE,9999,032,Independent Study,"1 - 12","Luke Dahl","TBA","TBA","Dissertation","",Open,0,30,0,"Formal record of student commitment to doctoral research under the guidance of a faculty advisor. May be repeated as necessary."
11662,ECE,9999,033,Independent Study,"1 - 12","James Aylor","TBA","TBA","Dissertation","",Open,0,30,0,"Formal record of student commitment to doctoral research under the guidance of a faculty advisor. May be repeated as necessary."
11679,ECE,9999,034,Independent Study,"1 - 12","James Fitz-Gerald","TBA","TBA","Dissertation","",Open,0,30,0,"Formal record of student commitment to doctoral research under the guidance of a faculty advisor. May be repeated as necessary."
11701,ECE,9999,035,Independent Study,"1 - 12","Mona Zebarjadi","TBA","TBA","Dissertation","",Open,0,30,0,"Formal record of student commitment to doctoral research under the guidance of a faculty advisor. May be repeated as necessary."
11731,ECE,9999,036,Independent Study,"1 - 12","Gustavo Rohde","TBA","TBA","Dissertation","",Open,0,30,0,"Formal record of student commitment to doctoral research under the guidance of a faculty advisor. May be repeated as necessary."
11760,ECE,9999,037,Independent Study,"1 - 12","Farzad Hassanzadeh","TBA","TBA","Dissertation","",Open,0,30,0,"Formal record of student commitment to doctoral research under the guidance of a faculty advisor. May be repeated as necessary."
11768,ECE,9999,038,Independent Study,"1 - 12","Homa Alemzadeh","TBA","TBA","Dissertation","",Open,0,30,0,"Formal record of student commitment to doctoral research under the guidance of a faculty advisor. May be repeated as necessary."
11789,ECE,9999,039,Independent Study,"1 - 12","Nicola Bezzo","TBA","TBA","Dissertation","",Open,0,30,0,"Formal record of student commitment to doctoral research under the guidance of a faculty advisor. May be repeated as necessary."
11794,ECE,9999,040,Independent Study,"1 - 12","Kyusang Lee","TBA","TBA","Dissertation","",Open,0,30,0,"Formal record of student commitment to doctoral research under the guidance of a faculty advisor. May be repeated as necessary."
10219,ECON,2010,001,Lecture,"3","Benjamin Hamilton","MoTuWeThFr 8:00AM - 10:15AM","Monroe Hall 111","Principles of Economics: Microeconomics","",Open,0,40,0,"Studies demand and supply, consumer behavior, the theory of business enterprise, the operation of competitive and monopolistic markets, and the forces determining income distribution. A full introduction to economic principles warrants completion of both ECON 2010 and 2020. Students planning to take both semesters of economic principles are advised to take ECON 2010 first, though this is not required. The department recommends ECON 2010 to students intending to take only one semester of principles."
10708,ECON,2010,002,Lecture,"3","Geoffrey Carr","MoTuWeThFr 10:30AM - 12:45PM","Monroe Hall 124","Principles of Economics: Microeconomics","",Open,0,65,0,"Studies demand and supply, consumer behavior, the theory of business enterprise, the operation of competitive and monopolistic markets, and the forces determining income distribution. A full introduction to economic principles warrants completion of both ECON 2010 and 2020. Students planning to take both semesters of economic principles are advised to take ECON 2010 first, though this is not required. The department recommends ECON 2010 to students intending to take only one semester of principles."
10220,ECON,2020,001,Lecture,"3","Daniel Savelle","MoTuWeThFr 10:30AM - 12:45PM","Monroe Hall 116","Principles of Economics: Macroeconomics","",Open,0,30,0,"Studies the determinants of aggregate economic activity, the effects of monetary and fiscal policy upon national income, and economic policy toward unemployment and inflation. A full introduction to economic principles warrants completion of both ECON 2010 and 2020. Students planning to take both semesters of economic principles are advised to take ECON 2010 first, though this is not required. The department recommends ECON 2010 to students intending to take only one semester of principles."
12346,ECON,2020,002,Lecture,"3","Carter Doyle","MoTuWeThFr 10:30AM - 12:45PM","Monroe Hall 118","Principles of Economics: Macroeconomics","",Open,0,40,0,"Studies the determinants of aggregate economic activity, the effects of monetary and fiscal policy upon national income, and economic policy toward unemployment and inflation. A full introduction to economic principles warrants completion of both ECON 2010 and 2020. Students planning to take both semesters of economic principles are advised to take ECON 2010 first, though this is not required. The department recommends ECON 2010 to students intending to take only one semester of principles."
10623,ECON,3010,001,Lecture,"4","Federico Ciliberto","MoTuWeThFr 10:30AM - 12:45PM","Monroe Hall 124","Intermediate Microeconomics","",Open,0,60,0,"Studies the theory of prices and markets; includes an analysis of the forces determining the allocation of economic resources in a market economy. Credit is not given for both ECON 3010 and 3110. Prerequisite: ECON 2010 and one of the following: MATH 1220, MATH 1320, APMA 1110."
10221,ECON,3010,002,Lecture,"4","Moogdho Mahzab","MoTuWeThFr 10:30AM - 12:45PM","Monroe Hall 111","Intermediate Microeconomics","",Open,0,37,0,"Studies the theory of prices and markets; includes an analysis of the forces determining the allocation of economic resources in a market economy. Credit is not given for both ECON 3010 and 3110. Prerequisite: ECON 2010 and one of the following: MATH 1220, MATH 1320, APMA 1110."
10222,ECON,3020,001,Lecture,"3","Maria Westerfield","MoTuWeThFr 10:30AM - 12:45PM","Monroe Hall 118","Intermediate Macroeconomics","",Open,0,40,0,"Studies macroeconomic theory and policy; includes an analysis of the forces determining employment, income, and the price level.  Prerequisite: ECON 2020 and 3010 or 3110, or instructor permission."
10610,ECON,3030,001,Lecture,"3","Carter Doyle","MoTuWeThFr 10:30AM - 12:45PM","Monroe Hall 111","Money and Banking","",Open,0,40,0,"Studies the role of money in the economic system, with emphasis on monetary policy and theory.  Prerequisite: ECON 2020."
10223,ECON,3720,001,Lecture,"4","Denis Nekipelov","MoWe 3:30PM - 5:45PM","Monroe Hall 130","Introduction to Econometrics","",Open,0,65,0,"Guides students in the use and interpretation of economic data, focusing on the most common issues that arise in using economic data, and the methodology for solving these problems.    Prerequisite: STAT 2120, STAT 3120, APMA 3110,  or APMA 3120"
